,smiles,logP
121,N=C(N)NC(=O)Nc1ccc([N+](=O)[O-])c(Cl)c1,1.79
122,Nc1ccc(S(=O)(=O)c2ccc(Cl)cc2)cc1,2.57
123,O=[N+]([O-])c1ccc(OCCn2ccnc2)cc1,1.69
124,CC12C=CC(=O)C=C1C(F)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.51
125,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,5.19
126,CN(C)C(=O)Oc1ccc(CC(NC(=O)C2N(S(=O)(=O)c3cnn(C)c3)CSC2(C)C)C(=O)OCCOc2ccccc2)cc1,3.27
127,CNC(=O)Nc1cccc(Cl)c1,2.18
128,NC1CC2OC1c1ccccc12,0.4
129,ClCC(Cl)(Cl)CCl,2.72
130,CSc1cc(C(C)C(=O)O)ccc1-c1nccs1,3.02
131,O=C1/C(=C/c2c(Sc3ccccc3)nc3ccccn3c2=O)SC(=S)N1C[C@H]1CCCO1,5.87
132,CC(=O)NC(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)C,0.43
133,CCC(C(=O)N1CCCN(C(=O)C(CC)c2ccccc2)CC1)c1ccccc1,4.93
134,CCC(CC)COC(=O)N(C)C,2.87
135,CC(C)OC(=O)CC(CN)c1ccc(Cl)cc1,1.27
136,COC(=O)C(C#N)=NNc1ccccc1C(F)(F)F,3.7
137,O=C1C=CC(=O)C=C1,0.2
138,Cc1cc(Br)cc(C)c1NC1=NCCN1,2.8
139,Nc1ccc(C(=O)Oc2ccc(Br)cc2)c(O)c1,3.46
140,Nc1c(Cl)cc(Cl)cc1Cl,3.52
141,Clc1ccc(Oc2ccccc2)c(Cl)c1Cl,5.55
142,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,7.11
143,CNC12CCCCC1c1ccccc1C2,3.43
144,C[N+](C)(C)[N-]C(=O)CCCCC(=O)[N-][N+](C)(C)C,-1.22
145,C/C(=C\c1ccccc1)[N+](=O)[O-],2.52
146,NC(=O)c1cnc2n(c1=O)CCCC2,-0.38
147,COC(=O)c1cc(Oc2cc(C(F)(F)F)ccc2Cl)ccc1[N+](=O)[O-],4.21
148,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,3.1
149,COc1cc(C(=O)Nc2ccccc2C(C)(C)C)cc(OC)c1OC,3.61
150,CN(C)c1ccc(-c2nc3ccc(Br)cc3s2)cc1,4.4
151,O=[N+]([O-])/C=C/c1ccccc1,2.11
152,COC(=O)c1ccc(C)cc1,2.7
153,CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,2.9
154,Cc1[nH]nc(C(=O)NCCc2ccccc2)c1[N+](=O)[O-],1.82
155,O=C1C=C(N2CC=CC2)C(=O)c2ccccc21,2.85
156,CCCCCC(=O)Nc1ccccc1,3.28
157,O=C(OCc1ccccc1)c1ccc(O)cc1,3.56
158,CCCCCC(=O)NN,0.48
159,CC(CCC(=O)NCc1ccccc1)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,3.54
160,[O-][n+]1ccccc1,-1.2
161,Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,5.9
162,O=[N+]([O-])c1c[nH]c(=NC2=NCCN2)s1,1.38
163,CN(C)C(N(C)C)=S(I)c1cccc(F)c1,-0.53
164,CCOC(=O)C(=Cc1ccc(Br)cc1)C(=O)OCC,4.02
165,CCCCCN=C(N)N=C(N)N,-1.02
166,CS(C)(=O)=O,-1.41
167,CC[C@@H]1CCCCN1C(=O)C1CC(c2cc(Cl)c(OC)cc2OC)=NO1,4.55
168,NCCCc1ccncc1,0.4
169,NNC(=O)c1ccc(I)cc1,1.55
170,CC(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)C,0.51
171,Clc1ccc2c(c1)Oc1c(cc(Cl)c(Cl)c1Cl)O2,6.9
172,Clc1ccc(Oc2ccccc2Cl)cc1,5.03
173,O=C(O)CCCCCOc1cccc2ccccc12,4.5
174,Cc1ccccc1,2.73
175,O=C(COc1cccc2ccccc12)O[Na],-1.5
176,CCC(C)C(NC(=O)C(CC(C)C)NC(C)=O)C(N)=O,0.68
177,COc1cccc2c(O)c3c(O)c4c(c(O)c3c(N)c12)=C(OC1CC(N2CCOCC2)C(O)C(C)O1)CC(O)(C(=O)CO)C=4,1.8
178,CNCC(O)c1ccc(O)c(O)c1,-1.37
179,CC(C)NNC(=O)COc1ccccc1,1.24
180,Cc1nc2ccccn2c(=O)c1C,1.0
181,Cc1cc(=O)n(CCOc2ccc3ccccc3c2)[nH]1,2.74
182,O=S(=O)(CCl)c1ccccc1,1.24
183,O=C(CI)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,1.03
184,C#CCOc1c(Cl)cc(N=CNOCOC)cc1Cl,3.2
185,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3nccc4ccccc34)c2s1,2.35
186,CN(C)CCc1cccs1,1.99
187,CCNC(=S)Nc1ccccc1,1.42
188,CC(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(N)=O,-1.3
189,CCS(=O)(=O)CC,-0.59
190,O=c1cccc(Cl)[nH]1,0.93
191,NC(=O)c1c(F)cccc1Br,0.63
192,C=CCN1CCCC1CNC(=O)c1cc2[nH]nnc2cc1OC,1.79
193,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-2.1
194,Clc1ccc2ccc(Cl)cc2c1,4.81
195,CCCCC(CCC)C(=O)O,3.01
196,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,6.8
197,Cc1cc(NC(=O)N=C(N)N)ccc1Cl,2.19
198,OC1c2ccccc2C2CCCCC2C1O,2.32
199,CCCOc1cc(Br)c(Cc2c[nH]c(=N)[nH]c2=N)cc1OC,2.84
200,CCC(C)C(N)C(=O)NC(C)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,-1.47
201,O=C(O)Cc1ccccc1Nc1cc(Cl)ccc1Cl,4.94
202,O=C1C=NC(c2ccc(Br)cc2)c2cc(Br)ccc2N1,4.04
203,COc1cc(Cl)c(Nc2ccccc2CC(=O)O)c(Cl)c1,4.44
204,Cn1cnc(Cl)c1[N+](=O)[O-],0.69
205,c1c[nH]nn1,-0.29
206,NCCc1cn2ccccc2n1,0.59
207,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,4.03
208,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)cc21,0.34
209,N#Cc1ccc(OC(=O)CNC(=O)c2ccccc2)cc1,2.11
210,O=NN1CCC(c2ccccc2)CC1,2.59
211,O=C(OCC(=O)N(CCO)CCO)c1ccccc1,0.17
212,CC(=O)c1cc2cccc(OCC(O)CNC(C)C)c2o1,2.02
213,CC(C)C=NCC(=O)NC(=O)C=[NH+][NH-],0.37
214,Cc1ccc(-c2cc3ccccn3c2)cc1,4.96
215,CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,2.24
216,CC(O)CCC(=O)c1ccoc1,0.84
217,Cc1ccc([N+](=O)[O-])cc1O,2.47
218,C=C1C(=O)OC2C=C(C)C(OC(C)=O)CC(O)C(C)=CC(OC(=O)C(C)=CC)C12,1.16
219,CCN(CC)C(=O)COC(=O)c1ccccc1,2.06
220,C#CC(C=CCl)(CC)OC(N)=O,1.71
221,O=c1cc(-c2ccc(O)c(O)c2)oc2cccc(O)c12,3.31
222,CCOCC(N)C(=O)O,-2.51
223,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,2.45
224,Nc1cc2ccccc2c2ccccc12,3.56
225,COC(=O)c1cccc(-n2c(O)ccc2O)c1,0.36
226,CC(C)(C)C(COc1ccc(C(F)(F)F)cc1)OC(=O)n1ccnc1,4.15
227,CCCN(CCC)C(=O)SCC,3.21
228,CCCOC(=O)c1cccs1,3.01
229,CC1=C(C(=O)N2CCCCC2)C(c2cccs2)C2C(=O)CCCC2=N1,3.37
230,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,4.12
231,COc1ccccc1C(=O)NCCCCN,0.58
232,O=C1CN=C(c2ccccc2F)c2cc(I)ccc2N1CC(O)CO,1.81
233,CC(C)(C)C1(C)OC(C(N)=O)C(C(N)=O)O1,1.6
234,COc1ccc(CO)cc1,1.1
235,CCCCCc1cc(OC)c2c(c1)OC(C)(C)C1CC=C(C)CC21,8.06
236,O=C1CC(Oc2ccccc2C(=O)c2ccccc2)N1,1.83
237,CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)NC(CC1CCCCC1)C(O)CC(C(=O)NCCN)C(C)C,3.5
238,COc1ccc2cc(C(C)C(=O)OCC=C(C)CCC=C(C)C)ccc2c1,7.77
239,CCCCCCOc1ccc(CC(=O)O)cc1,3.96
240,c1ccc(C2CCCN2)cc1,1.89
241,CN(Cc1ccccc1)c1ccccc1,4.22
242,OCc1cc(Br)cc(Br)c1O,2.72
243,CC(C(=O)NC1CCCC1)N(c1ccc(Cl)cc1)S(C)(=O)=O,3.48
244,CCOP(=S)(OCC)Oc1cccc(F)n1,3.51
245,O=C1CC(c2ccccc2)c2ccccc2N1,2.79
246,CN(C)C(=O)Cc1cccs1,0.65
247,FC(F)(F)COC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.15
248,CCOC(=O)C(Cl)(Cl)Cl,2.39
249,Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,7.12
250,O=C1NC(=O)C(c2ccccc2)C1=O,2.26
251,CC[C@@H]1CCCCN1C(=O)COc1cccc2c1CCN(Cc1ccc(Cl)cc1)C2=O,5.23
252,COC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.14
253,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,5.23
254,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,3.88
255,Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,6.38
256,O=[N+]([O-])c1ncn(CC(O)CN2CC2)n1,-0.72
257,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2=O,-0.04
258,O=C(Cc1ccccc1)Nc1ccccc1O,2.4
259,NCC(=O)NCC(=O)O,-2.92
260,CC1(C)SC2C(NC(=O)c3c(-c4c(F)cccc4Cl)noc3CO)C(=O)N2C1C(=O)O,2.23
261,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,1.83
262,Cc1cc2ccccc2[nH]1,2.53
263,CC(=O)CC(=O)N=c1[nH][n+]([O-])c2ccccc2[n+]1[O-],-1.4
264,CC(C(=O)CCN(C)C)n1c(O)c2c(c1O)CC=CC2,0.77
265,Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)cc1,6.14
266,CCOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,1.9
267,c1ccc(-c2nc3ccccc3s2)cc1,4.26
268,CN(C)c1ccc(C(N)=O)cc1,1.14
269,CCCNC(=O)c1[nH]nc(C)c1[N+](=O)[O-],0.65
270,O=NN(CCCl)C(=O)NC1CSCSC1,2.08
271,O=C(C=CC(=O)c1ccccc1)c1ccccc1,3.16
272,O=C(O)C=CC(=O)c1ccccc1,1.53
273,CCOP(=O)(OCC)SCc1ccccc1,3.21
274,CCC(C)c1ccc(OC(=O)N(C)C)cc1,3.62
275,COc1ccc(C(=O)CSc2nnc(-c3ccccc3)o2)cc1,4.15
276,OCCCOc1cccc(CN2CCCCC2)c1,2.78
277,COc1ccc(Cn2cncn2)cc1,1.1
278,CC(C(=O)O)c1ccc(-c2nccs2)c(Br)c1,3.35
279,CC(=O)Nc1c(Cl)cccc1Cl,1.32
280,Cc1cc2ccccc2cc1C,4.4
281,CCC(C)C(N)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)CC,-1.65
282,CN(C)c1cc[n+]([O-])cc1,-0.9
283,COc1nn(CSP(=S)(OC)OC)c(=O)s1,2.2
284,CC=NN(C(=O)c1ccc(C)cc1)c1ccccc1,3.6
285,CCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.78
286,C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3C(OC)CC21C,2.87
287,CC(=O)NC(CC(N)=O)C(=O)NC(C(N)=O)C(C)C,-1.85
288,CC(C)(C)c1cc(-c2nc(-c3ccc(C(F)(F)F)cn3)no2)n(Cc2ccccc2)n1,6.58
289,COC(=O)Nc1ccccc1OC,1.84
290,O=C1C=NC(c2ccc(F)cc2)c2cc(Cl)ccc2N1,2.9
291,O=C(NN=Cc1ccccc1O)c1ccc(O)cc1,2.56
292,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)NCc1ccccc1,3.28
293,NS(=O)(=O)c1nn2c(=Nc3cccc(F)c3)snc2s1,3.06
294,Cc1c[n+]([O-])c(C)c(Cl)n1,0.44
295,O=C(COC(=O)c1ccccc1)NC(CO)(CO)CO,0.25
296,CCc1cnc(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)n1,4.22
297,COc1ccc(N2C3=C(C(=O)CC(C)(C)C3)C(c3ccc4c(c3)OCO4)C3=C2CC(C)(C)CC3=O)cc1,5.72
298,O=C(C=Cc1ccc(O)c(O)c1)NCCc1ccccc1,2.72
299,COC(=O)c1ccc(C(=O)OC)cc1,2.25
300,CN(C)C(=O)Cc1ccco1,0.01
301,Cc1cnc(C)c(C)n1,0.95
302,CCNCc1ccccc1,1.82
303,Nc1ccc(Cl)c(Cl)c1,2.69
304,Brc1cc(Br)c(Br)c(-c2c(Br)c(Br)cc(Br)c2Br)c1Br,5.5
305,Oc1ccc(O)n1-c1ccc(Cl)cc1,0.96
306,CC(NC(=O)C(N)C(C)C)C(=O)NC(C(=O)O)C(C)C,-0.67
307,O=C(CN1CCCCC1)NC1COc2ccccc21,2.3
308,O=C1C=CCCC1,0.61
309,CCOC(=O)CN(C(=O)CCl)c1ccccc1-c1ccccc1,3.37
310,COc1ccccc1[N+](=O)[O-],1.73
311,COc1cc(OC)n2nc(S(=O)(=O)Nc3c(Cl)ccc(C)c3Cl)nc2n1,3.08
312,CC(C)N(N=Nc1ccc(C(N)=O)cc1)C(C)C,3.0
313,CC(C)NCC(O)c1ccc2ccccc2c1,3.0
314,Cc1cccc(NC(N)=O)c1,1.29
315,CC(=O)OC=C1CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N2C1C(=O)O,-0.44
316,CN(C)C(N(C)C)=S(I)c1cccc([N+](=O)[O-])c1,-0.88
317,CC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C(N)C(C)C)C(O)O,-1.32
318,COc1ccc(N2C(=S)N=C(N[C@@H]([C@@H](Oc3ccc(Cl)cc3)n3cncn3)C(C)(C)C)C2(C)C)cc1,5.56
319,O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,0.04
320,Cc1ccc(NN=C(C#N)C#N)c([N+](=O)[O-])c1,2.5
321,CCOC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,3.5
322,CCC(C)C(N)C(=O)NC(CCSC)C(=O)NC(Cc1ccccc1)C(=O)O,1.28
323,CCOc1ccc(NC(=O)OC(C)COC)cc1OCC,2.56
324,CC(C)SC(C)C,2.84
325,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7COC(=O)C7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1.36
326,COc1ccc(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)cc1OC,2.09
327,CCOc1nc(C#N)nc(N2CCOCC2)n1,2.46
328,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,2.9
329,S=c1ssc2ccccc12,3.57
330,CN(C)S(=O)(=O)c1ccccc1,1.35
331,CCCCC(=O)OCC(=O)C1(OC(=O)CCCC)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,5.26
332,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(OC(=O)C2OC(O)CC(O)C2O)C1O,-1.77
333,O=C(O)Cc1cccc(F)c1,1.65
334,CNC(=O)Oc1cc(C)c(SC)c(C)c1,2.92
335,CNC(=O)Oc1ccc(Cl)cc1,2.01
336,C=CCOC(=O)Nc1ccc(OCC)c(OCC)c1,2.75
337,CCC(=O)OC1(c2ccccc2)CCN(C)CC1CC,3.61
338,CSC(C)=NOC(=O)N(C)SN(C)C(=O)C1CC1,1.7
339,CN(C)c1ccccn1,1.65
340,CCCCCCNC(=O)CCC(NS(=O)(=O)c1ccc(C)cc1)C(=O)O,0.84
341,Oc1cc(Cl)c(Cl)c(Cl)c1O,3.71
342,CCC1(CC)OC(=O)c2ccccc21,2.69
343,COc1ccc(C(c2ccc(OC)cc2)C(Cl)Cl)cc1,4.47
344,Clc1ccc(Oc2cccc(Cl)c2Cl)cc1,5.63
345,Cc1ccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc(C)cc3C)CC2)c(C)c1,5.01
346,CC(=O)OC=C1CSC2C(NC(=O)Cc3cccs3)C(=O)N2C1C(=O)OCOC(=O)C(C)(C)C,1.57
347,O=[N+]([O-])c1nccn1C1SC(CO)C(O)C(O)C1O,-0.66
348,CCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,3.7
349,CC(CCC(N)=O)n1nnc2ccccc21,1.15
350,O=C(OC(=O)c1ccccc1)c1ccccc1,2.26
351,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)c(F)c21,0.3
352,Cn1c([N+](=O)[O-])cnc1C=Cc1cc[nH]c(=N)n1,0.85
353,Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,6.6
354,NC(=O)c1cccnn1,-0.73
355,COC(=O)C(C#N)=Cc1ccc(Cl)o1,2.4
356,CCCC(=O)OCOc1ccccc1C(N)=O,1.66
357,CC1(C)C(=O)NC(=S)NC1=O,0.5
358,NC(=O)N(CCCl)N=O,0.57
359,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,7.55
360,O=C(CNC(=O)c1ccccc1)Oc1cccc(C(F)(F)F)c1,3.3
361,CC(=O)N1CCCC1=O,-0.05
